userName,score,at,content
Ramli Abjul,5,2026-05-05 00:48:36,Terbaik
Neng Yunita,5,2026-05-04 22:30:20,aplikasinya sangat bagus membantu sekali untuk pengecekan sertifikat kepemilikan tanah/bangunan
eka saputra,5,2026-05-04 13:31:32,semoga semakin sempurna
Kartini Kartini,5,2026-05-04 12:43:27,Sangat baik dan membantu memudahkan pengecekan surat tanah
Aku Gocar,5,2026-05-04 12:17:25,sangat membantu
Pirgong Siregar,5,2026-05-04 11:21:22,Sangat bermanfaat
Yoan Dermawan,5,2026-05-04 09:47:52,lebih baik jika sekalian muncul tagihan pajaknya
Abdul Ghofur,5,2026-05-04 09:01:43,Terimakasih terbantu dalam mancari lokasi
Ame Arifiati,5,2026-05-04 07:22:12,good pengalaman
TrustPlus Indonesia,5,2026-05-04 05:20:49,akurasi dan user friendly.
chairan noorrizq,5,2026-05-04 03:22:33,bagus
Moh Kais Rizqon,5,2026-05-03 21:58:01,sangat membantu
asdi,5,2026-05-03 16:33:28,Aplikasi yang sangat membantu utk mengetahui proses berkas kita
Dedy Hukom,5,2026-05-03 14:02:03,👍👍👍
Heni Kurniawati,5,2026-05-03 11:10:01,Cepat dlm penyelesaian nya
Muhafid,2,2026-05-03 06:22:24,buat login akun ngga bisa padahal udah benar nama email dan password nya Tapi tetap ngga bisa katanya username atau password salah atau akun belum terdaftar padahal udah terdaftar tapi tetap ngga bisa login
SYARIF HIDAYATULLAH,5,2026-05-03 00:02:08,sangat bermanfaat
mulyono mulyono,5,2026-05-02 23:22:41,"sangat berguna sekali, mantap"
Kathy Kat,1,2026-05-02 11:56:34,Login akses tiba2 tidak terdaftar. Bagaimana solusinya? sebelumnya saya bisa akses dari hp.
adi chadeck Jujur Jasa penyedia property Bali,5,2026-05-02 08:24:40,helfpull
4bie Yatsa,5,2026-05-02 06:37:02,"sangat memudahkan untuk mengecek lokasi secara realtime, terukur dan tepat"
Julianus L.A Koten Official,5,2026-05-02 06:36:00,Mantap sangat membantu.
agus rosyana,3,2026-05-02 06:09:34,"ini aplikasi susah mau log in, salah terus username, password, padahal sudah bener, tolonglah perbaiki aplikasi ini"
Chaerudin,5,2026-05-02 05:36:56,great
ABD GAFUR KAU,5,2026-05-02 02:10:17,Terbantu
Bima Al Hafiz,5,2026-05-02 01:56:41,terimakasih sangat membantu👍👍👍👍
Abdillah,4,2026-05-02 00:51:45,Semoga memberikan solusi pada setiap permasalahan pertanahan di tanah air
Muhammad Tony,5,2026-05-01 19:17:01,sangat membantu
Dastam,5,2026-05-01 15:13:44,lumayan membantu untuk mengecek sertipikat elektronik
Marwati,5,2026-05-01 12:34:20,sangat bagus
Suhar Wanda,5,2026-05-01 12:34:07,bagus dan sangat membantu
Rohiman Q,5,2026-05-01 10:48:46,Sangat membantu
Gans Alfatih,5,2026-05-01 09:52:50,"aplikasi yg bisa memantau perjalanan surat ,aplikasi ini sangat berguna"
Daud Majid,5,2026-05-01 07:06:54,sangat membantu dan memudahkan soal urusan rumah dan tanah .
Devi Marlinda,5,2026-05-01 06:21:19,kemudahan informasi
Ketut Karuna,1,2026-05-01 04:54:40,"kualitas aplikasi menggambarkan kualitas pemerintahan indonesia, mncoba daftar ratusan kali tidak bisa"
